symbol,symbol_raw,name,type,exchange
BPAN4.SA,BPAN4,Banco Pan S.A. Pfd Shs,stock,
BIAU39.SA,BIAU39,iShares Gold Trust Shs Unsponsored Brazilian Depository Receipt Repr 0.25 Sh,bdr,
HBOR3.SA,HBOR3,Helbor Empreendimentos S.A.,stock,
BOVX11.SA,BOVX11,Trend ETF Ibovespa Fundo de Indice,fund,
GFSA3.SA,GFSA3,Gafisa S.A.,stock,
SHUL4.SA,SHUL4,Schulz S.A.Non-Cum Perp Pfd Registered Shs,stock,
TFCO4.SA,TFCO4,Track & Field Co SA Pfd Registered Shs,stock,
AURA33.SA,AURA33,Aura Minerals Inc Shs Unsponsored Brazilian Depositary Receipt Repr 1 Sh,bdr,
SMTO3.SA,SMTO3,Sao Martinho S.A.,stock,
VULC3.SA,VULC3,Vulcabras SA,stock,
EGIE3.SA,EGIE3,ENGIE Brasil Energia S.A.,stock,
VGIR11.SA,VGIR11,Valora Re III Fundo De Investimento Imobiliario,fund,
TUPY3.SA,TUPY3,Tupy S.A.,stock,
DASA3.SA,DASA3,Diagnosticos da America S.A.,stock,
POSI3.SA,POSI3,Positivo Tecnologia SA,stock,
BRKM5F.SA,BRKM5F,Braskem S.A. Pfd A,stock,
GOLD11.SA,GOLD11,Gold - Trend ETF LBMA Ouro Fundo Investimento Cotas de Fundo de Indice Investiment Exterior,fund,
AVGO34.SA,AVGO34,Broadcom Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.02857 Sh,bdr,
FESA4.SA,FESA4,Cia de Ferro Ligas da Bahia-Ferbasa Pfd,stock,
NASD11.SA,NASD11,Trend ETF Nasdaq 100 Fundo de Indice,fund,
MILS3.SA,MILS3,Mills Locacao Servicos e Logistica S.A.,stock,
RBRF11.SA,RBRF11,Fundo de Investimento Imobiliario RBR Alpha Fundo de Fundos Cotas,fund,
LAVV3.SA,LAVV3,LAVVI Empreendimentos Imobiliarios SA,stock,
CPTS11.SA,CPTS11,Capitania Securities II Fundo de Investimento Imobiliario Cotas,fund,
LIGT3.SA,LIGT3,Light S.A.,stock,
GGRC11.SA,GGRC11,GGR Covepi Renda Fundo de Investimento Imobiliario - FII,fund,
PLPL3.SA,PLPL3,Plano & Plano Desenvolvimento Imobiliario Ltda,stock,
RCSL4.SA,RCSL4,Recrusul SA Pfd,stock,
VVCO11.SA,VVCO11,V2 Edificios Corporativos Fundode Investimento Imobiliario,fund,
BMGB4.SA,BMGB4,Banco Bmg SA BMG Pfd Registered Shs -144A- Reg S,stock,
KNSC11.SA,KNSC11,Kinea Securities Fundo de Investimento Imobiliario,fund,
MTRE3.SA,MTRE3,Mitre Realty Empreendimentos e Participacoes SA,stock,
MDIA3.SA,MDIA3,M. Dias Branco SA Industria e Comercio de Alimentos,stock,
RANI3.SA,RANI3,Irani Papel e Embalagem SA,stock,
LOGG3.SA,LOGG3,Log Commercial Properties e Participacoes SA,stock,
KLBN3.SA,KLBN3,Klabin SA,stock,
ELET6.SA,ELET6,Centrais Eletricas Brasileiras SA-Eletrobras Pfd B,stock,
EVEN3.SA,EVEN3,Even Construtora E Incorporadora S.A.,stock,
BRBI11.SA,BRBI11,BRBI BR Partners S.A. Units Cons of 1 Sh and 2 Pfd Shs,fund,
BOVV11.SA,BOVV11,IT Now Ibovespa Fundo de Indice Cotas,fund,
ENJU3.SA,ENJU3,Enjoei SA,stock,
ABCB4.SA,ABCB4,Banco ABC Brasil SA Conv Pfd,stock,
POMO3.SA,POMO3,Marcopolo SA,stock,
USIM3.SA,USIM3,Usinas Siderurgicas de Minas Gerais SA-Usiminas,stock,
OPCT3.SA,OPCT3,OceanPact Servicos Maritimos SA,stock,
ITUB3.SA,ITUB3,Itau Unibanco Holding S.A.,stock,
WIZC3.SA,WIZC3,WIZ Co Participacoes e Corretagem de Seguros SA,stock,
RBVA11.SA,RBVA11,Fundo de Investimento Imobiliario Rio Bravo Renda Varejo - FII,fund,
VGHF11.SA,VGHF11,Valora Hedge Fund Fundo de Investimento Imobiliario,fund,
LPSB3.SA,LPSB3,LPS Brasil-Consultoria de Imoveis SA,stock,
BMOB3.SA,BMOB3,Bemobi Mobile Tech SA,stock,
AMZO34.SA,AMZO34,"Amazon.com, Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.05 Sh",bdr,
LEVE3.SA,LEVE3,Mahle-Metal Leve S.A.,stock,
AGRO3.SA,AGRO3,BrasilAgro Cia Brasileira de Propriedades Agricolas,stock,
RURA11.SA,RURA11,Itau Asset Rural Figaro Imobiliario,fund,
BRKM3.SA,BRKM3,Braskem S.A.,stock,
MCRE11.SA,MCRE11,Maua Capital Real Estate Fundo de Investimento Imobiliario,fund,
TRIS3.SA,TRIS3,Trisul S.A.,stock,
BTHF11.SA,BTHF11,BTG Pactual Real Estate Hedge Fund FII Fundo de Investimento Imobiliario Responsabilidade Limitada,fund,
SEER3.SA,SEER3,Grupo Ser Educacional SA,stock,
CSED3.SA,CSED3,Cruzeiro do Sul Educacional SA,stock,
AAPL34.SA,AAPL34,Apple Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.05 Sh,bdr,
HBRE3.SA,HBRE3,HBR Realty Empreendimentos Imobiliarios SA,stock,
PFRM3.SA,PFRM3,Profarma Distribuidora de Produtos Farmaceuticos SA,stock,
HASH11.SA,HASH11,Hashdex Nasdaq Crypto Index Fundo de Indice,fund,
BTCI11.SA,BTCI11,FII BTG Pactual Credito Imobiliario,fund,
DEBB11.SA,DEBB11,BTG Pactual Teva Debentures DI Fundo de Indice ETF,fund,
ORVR3.SA,ORVR3,Orizon Valorizacao de Residuos SA,stock,
DESK3.SA,DESK3,Desktop SA,stock,
VLID3.SA,VLID3,Valid Solucoes SA,stock,
ALUP11.SA,ALUP11,Alupar Investimento SA Unit Cons of 1 Sh + 2 Pfd Shs,fund,
SOJA3.SA,SOJA3,Boa Safra Sementes SA,stock,
IRBR3.SA,IRBR3,IRB Brasil Resseguros SA,stock,
BODB11.SA,BODB11,Bocaina Infra Fundo de Investimento em Cotas de Fundos Incentivados de Investimento em Infraestrutura Renda Fix Cr Priv,fund,
ESPA3.SA,ESPA3,MPM Corporeos SA,stock,
ALPK3.SA,ALPK3,Allpark Empreendimentos Participacoes e Servicos S.A.,stock,
SPXR11.SA,SPXR11,It Now S&P 500 Futures Quanto BRL Fundo de Indice Responsabilidade Limitada,fund,
GOGL34.SA,GOGL34,Alphabet Inc Shs A Unsponsored Brazilian Depository Receipt Repr 0.08333 Sh -,bdr,
ETHE11.SA,ETHE11,HASHDEX NASDAQ ETHEREUM REFERENCE PRICE ETF,fund,
SANB4.SA,SANB4,Banco Santander (Brasil) SA Pfd,stock,
MEAL3.SA,MEAL3,International Meal Company Alimentacao SA,stock,
TASA4.SA,TASA4,Taurus Armas S.A. Pfd,stock,
TOKY3.SA,TOKY3,Grupo Toky SA,stock,
BABA34.SA,BABA34,Alibaba Group Holding Limited ADR Unsponsored Brazilian Depository Receipt Repr 0.03571 ADR,bdr,
TGMA3.SA,TGMA3,Tegma Gestao Logistica S.A.,stock,
DOLA11.SA,DOLA11,BB ETF Indice Futuro De Dolar S&P/B3 Fundo De Indice Responsabilidade Limitada,fund,
FIQE3.SA,FIQE3,Unifique Telecomunicacoes SA,stock,
ZAMP3.SA,ZAMP3,ZAMP SA,stock,
XINA11.SA,XINA11,TREND ETF BLOOMBERG CHINA FUNDO DE INDICE -INVESTIMENTO NO EXTERIOR,fund,
AMAR3.SA,AMAR3,Marisa Lojas S.A.,stock,
QSOL11.SA,QSOL11,QR CME CF Solana Dollar Reference Rate Fundo De Indice Responsabilidade Limitada,fund,
VGIA11.SA,VGIA11,Valora CRA Fundo de Investimento nas Cadeias Produtivas Agroindustriais Fiagro Imobiliario,fund,
GMAT3F.SA,GMAT3F,Grupo Mateus SA,stock,
BBSE3F.SA,BBSE3F,BB Seguridade Participacoes SA,stock,
ALLD3.SA,ALLD3,Allied Tecnologia SA,stock,
ETER3.SA,ETER3,Eternit S.A.,stock,
BACW39.SA,BACW39,iShares MSCI ACWI ETF Shs Unsponsored Brazilian Depositary Receipt Repr 0.1 Sh,bdr,
PORT3.SA,PORT3,Wilson Sons Holdings Brasil SA,stock,
HFOF11.SA,HFOF11,Hedge Top Fofii 3 Fundo Investimento Imobiliario,fund,
KNCR11.SA,KNCR11,Kinea Rendimentos Imobiliarios Fundo de Investimento Imobiliario - FII Cotas,fund,
FRAS3.SA,FRAS3,Fras-Le S.A.,stock,
PINE4.SA,PINE4,Banco PINE S.A. Pfd,stock,
BBAS3F.SA,BBAS3F,Banco do Brasil S.A.,stock,
RBRS11.SA,RBRS11,RIO Bravo Renda Residencial Fundo de Investimentos Imobiliario,fund,
SNEL11.SA,SNEL11,Fundo de Investimento Imobiliario Suno Energias Limpas,fund,
BRST3.SA,BRST3,Brisanet Servicos de Telecomunicacoes S.A.,stock,
JSAF11.SA,JSAF11,JS Ativos Financeiros Fundo de Investimento Imobiliario,fund,
PDGR3.SA,PDGR3,PDG Realty SA Empreendimentos e Participacoes,stock,
ASAI3F.SA,ASAI3F,Sendas Distribuidora SA,stock,
FGAA11.SA,FGAA11,FG/AGRO Fundo de Investimento nas Cadeias Produtivas Agroindustriais Fiagro Imobiliario,fund,
UNIP6.SA,UNIP6,Unipar Carbocloro SA Pfd Class B,stock,
ALZR11.SA,ALZR11,Alianza Trust Renda Imobiliaria Fundo Investimento Imobiliario Investor,fund,
PRNR3.SA,PRNR3,Priner Servicos Industriais SA,stock,
RZAG11.SA,RZAG11,Fundo de Investimento nas Cadeias Produtivas Agroindustriais Riza Agro Fiagro Imobiliario,fund,
SNAG11.SA,SNAG11,Suno Agro Fiagro Imobiliario,fund,
ROMI3.SA,ROMI3,Romi SA,stock,
TRAD3.SA,TRAD3,TC S.A.,stock,
SOLH11.SA,SOLH11,Hashdex Nasdaq Solana Fundo De Indice,fund,
HGBS11.SA,HGBS11,CSHG Brasil Shopping Fundo de Investimento Imobiliario Cotas,fund,
VINO11.SA,VINO11,Vinci Offices Fundo de Investimento Imobiliario,fund,
SANB3.SA,SANB3,Banco Santander (Brasil) S.A.,stock,
MANA11.SA,MANA11,Manati Capital Hedge Fund Fundo de Investimento Imobiliario,fund,
COCA34.SA,COCA34,Coca-Cola Company Shs Unsponsored Brazilian Depositary Receipt Repr 0.166666667 Sh,bdr,
CTGP34.SA,CTGP34,Citigroup Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.1667 Sh,bdr,
PETR4F.SA,PETR4F,Petroleo Brasileiro SA Pfd,stock,
LFTS11.SA,LFTS11,Investo Teva Tesouro Selic ETF,fund,
PMAM3.SA,PMAM3,Paranapanema S.A.,stock,
LFTB11.SA,LFTB11,Investo ETF Marketvector Brazil Treasury 760 Day Target Duration Classe de Indice Responsabilidade Limitada,fund,
CPOF11.SA,CPOF11,Capitania Office FII Fundo de Investimento Imobiliario Responsabilidade Limitada,fund,
LUPA3.SA,LUPA3,Lupatech S.A.,stock,
S2GM34.SA,S2GM34,Sigma Lithium Corporation Unsponsored GDR,bdr,
SAPR3.SA,SAPR3,Companhia de Saneamento do Parana - Sanepar,stock,
NFLX34.SA,NFLX34,"Netflix, Inc. Shs Unsponsored Brazilian Depositary Receipt Repr 0.02 Sh",bdr,
TRXF11.SA,TRXF11,TRX Real Estate Fundo Investimento Imobiliario,fund,
BBIG11.SA,BBIG11,BB Premium Malls Fundo de Investimento Imobiliario de Responsabilidade Limitada,fund,
DEXP3.SA,DEXP3,Dexxos Participacoes SA,stock,
AERI3.SA,AERI3,Aeris Industria e Comercio de Equipamentos para Geracao deEnergia S.A.,stock,
UCAS3.SA,UCAS3,Unicasa Industria de Moveis S.A.,stock,
TAEE4.SA,TAEE4,Transmissora Alianca De Energia Eletrica S.A. Pfd,stock,
QETH11.SA,QETH11,QR CME CF ETHER REFERENCE RATE FUNDO DE INDICE - INVESTIMENTO NO EXTERIOR,fund,
PNVL3.SA,PNVL3,Dimed S.A. Distribuidora de Medicamentos,stock,
QBTC11.SA,QBTC11,QR CME CF Bitcoin Reference Rate Fundo de Indice Investimento no Exterior,fund,
GOGL35.SA,GOGL35,Alphabet Inc Shs C Unsponsored Brazilian Depository Receipt Repr 0.08333 Sh -,bdr,
KNIP11.SA,KNIP11,Kinea Indices Precos Fundo de Investimento Imobiliario- FII Cotas,fund,
VALE3F.SA,VALE3F,Vale S.A.,stock,
MELI34.SA,MELI34,"MercadoLibre, Inc. Shs Unsponsored Brazilian Depository Receipt Repr 0.00833 Sh",bdr,
SARE11.SA,SARE11,Santander Renda de Alugueis Fundo de Investimento Imobiliario,fund,
TASA3F.SA,TASA3F,Taurus Armas S.A.,stock,
